,class_1,class_2,question,top_0,top_1,top_2,top_3,top_4,top_5
484,ПРЕДЛОЖЕНИЯ,Монетизация,Я могу подать заявку на монетизацию если я физ лицо,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,С какого возраста доступна монетизация,Монетизация
485,ПРЕДЛОЖЕНИЯ,Монетизация,Как физлица могут подключиться к партнерской программе Rutube,Как подключиться к партнерской программе в приложении Студия RUTUBE,Кто такой правообладатель и как им стать,Как подключиться к партнерской программе в приложении Студия RUTUBE,Что дает платная подписка Как оформить,Что делать если заявку не одобрили,Мобильное приложение Студия RUTUBE на IOS
486,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Какие вам нужно будет отправлять документы для подключения монетизации,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как подтвердить права на использование контента для монетизации,Как долго рассматривается заявка на монетизацию,Монетизация
487,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Что нужно будет предоставлять для участия в партнерской программе,Как подключиться к партнерской программе в приложении Студия RUTUBE,Как подключиться к партнерской программе в приложении Студия RUTUBE,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Мобильное приложение Студия RUTUBE на IOS
488,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Достаточно ли паспорта для подачи заявки на монетизацию или нужны будут еще какие то документы,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как подтвердить права на использование контента для монетизации,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Монетизация
489,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Нужно ли предварительно верифицировать канал чтобы участвовать в партнерской программе,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Что делать если заявку не одобрили,Что делать если заявку не одобрили,Монетизация
490,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Для подключения монетизации не обязательно быть официальным каналом,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Обязательна ли верификация канала для подключения к монетизации,Монетизация
491,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Есть ли требование к верификации канала для подключения монетизации,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,С какого возраста доступна монетизация,Монетизация
492,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,хаявку мне не одобрили что делать как верефицировать канал,Что делать если заявку не одобрили,Что делать если заявку не одобрили,Почему заявка может быть отклонена,Что делать если модерация в RUTUBE не пройдена  Что делать если мое видео отклонено,Как подать заявку на верификацию канала,Верификация
493,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,Не согласен с тем что я не дали статус официального канала,Что делать если заявку не одобрили,Что делать если заявку не одобрили,Как подать заявку на верификацию канала,Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии,Могу ли я посмотреть с какими студиями уже работает пользователь которому я хочу предоставить доступ,Верификация
494,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,Мне не подтвердили галочку что теперь,Что делать если заявку не одобрили,Что делать если заявку не одобрили,Моя заявка находится длительное время без ответа Что делать,Моя заявка находится длительное время без ответа Что делать,Я подтвердил свою регистрацию но письмо с подтверждением на мой e mail не пришло,Верификация
495,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,Очень долго не отвечают по заявке на верефикацию,Моя заявка находится длительное время без ответа Что делать,Моя заявка находится длительное время без ответа Что делать,Сколько времени занимает рассмотрение заявки на верификацию канала,Сколько времени дается на исправление нарушений на канале,Что делать если заявку не одобрили,Верификация
496,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,Я давно подал заявку на подтверждение канала но ответа нет,Моя заявка находится длительное время без ответа Что делать,Моя заявка находится длительное время без ответа Что делать,Что делать если заявку не одобрили,Что делать если заявку не одобрили,Я подтвердил свою регистрацию но письмо с подтверждением на мой e mail не пришло,Верификация
497,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,Подавал заявку на галочку очень давно нет ответа как постпить,Моя заявка находится длительное время без ответа Что делать,Моя заявка находится длительное время без ответа Что делать,Я подтвердил свою регистрацию но письмо с подтверждением на мой e mail не пришло,Как подать заявку на верификацию канала,Что делать если заявку не одобрили,Верификация
498,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,я не понимаю что за монетизация,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Почему заявка может быть отклонена,Монетизация
499,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Что за монитизация,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Монетизируется ли контент с отметкой,Какие документы нужны для заявки на монетизацию,Монетизация
500,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Сколько лет нада для монетизации,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Как долго рассматривается заявка на монетизацию,Как долго рассматривается повторная заявка на монетизацию,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Монетизация
501,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Здравствуйте может ли несовершенолетний подключить монетизацию на своём rutube канале,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Могу ли я оформить монетизацию моего канала на доверенное лицо,Монетизация
502,ПРЕДЛОЖЕНИЯ,Монетизация,Здравствуйте такой вопрос А если я не резидент РФ как подключить монетизация Я же не могу оформить самозанятость   Как в таком случае действовать,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Могу ли я подключиться к партнёрской программе если я не резидент РФ,Могу ли я подключиться к партнёрской программе если я не резидент РФ,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Монетизация
503,ПРЕДЛОЖЕНИЯ,Монетизация,Здравствуйте У вас обновилась монетизация но про резидентов ничего не сказано Подскажите планируется ли как то решить вопрос с возможностью подключения монетизации из других стран нерезидентов,Могу ли я подключиться к партнёрской программе если я не резидент РФ,Могу ли я подключиться к партнёрской программе если я не резидент РФ,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Монетизация
504,ПРЕДЛОЖЕНИЯ,Монетизация,Здравствуйте Скажите пожалуйста недавно наша команда заметила кардинально обновлённую вкладку Монетизация в Rutube Studio нашего канала и хочет поинтересоваться сама монетизация уже работает для нерезидентов Российской Федерации и мы уже можем зарабатывать после того как выполним все требования для этого На всякий случай наша команда работает на территории Молдавии Республики Молдова,Могу ли я подключиться к партнёрской программе если я не резидент РФ,Могу ли я подключиться к партнёрской программе если я не резидент РФ,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Могут ли трансляции монетизироваться,Монетизация
505,ПРЕДЛОЖЕНИЯ,Монетизация,Добрый день  При регистрации на монетизацию у вас нет пункта физическое лицо только предприниматели Физику под каким статусом регистрироваться,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Какие документы нужны для заявки на монетизацию,Монетизация
506,ПРЕДЛОЖЕНИЯ,Монетизация,Добрый день А Вы не планирует как на Дзене сделать в монетизации «Физическое лицо» Самозанятого регистрировать крайне не удобно,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Монетизация
507,ПРЕДЛОЖЕНИЯ,Монетизация,Я физическое лицо как монетизировать свой контент,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Как подтвердить права на использование контента для монетизации,Какой контент можно использовать для монетизации то есть в коммерческих целях,Монетизация
508,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Что мне прислать чтобы получать деньги,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как мне получать донаты за публикации,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Как долго рассматривается заявка на монетизацию,Монетизация
509,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Какие надо вам документы чтобы одобрили заявку на монетизауию,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как подтвердить права на использование контента для монетизации,Как долго рассматривается заявка на монетизацию,Монетизация
510,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Пришлите список документов для подключения монетизации,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как подтвердить права на использование контента для монетизации,Как долго рассматривается заявка на монетизацию,Монетизация
511,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,нужна ли галочка чтобы подключить монетизацию,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Монетизация
512,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Есть ли необходимость верефицировать свой канал чтобы у меня была монетизация,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Обязательна ли верификация канала для подключения к монетизации,Можно ли создать несколько каналов и монетизировать их,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Монетизация
513,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Сколько обычно рассматривается заявка на монетизацию,Как долго рассматривается заявка на монетизацию,Как долго рассматривается повторная заявка на монетизацию,Сколько времени занимает рассмотрение заявки на верификацию канала,Монетизация подключена С какого момента будет рассчитываться вознаграждение,С какого возраста доступна монетизация,Монетизация
514,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Долго ждать одобрения монетизации,Как долго рассматривается заявка на монетизацию,Как долго рассматривается повторная заявка на монетизацию,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Почему заявка может быть отклонена,С какого возраста доступна монетизация,Монетизация
515,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,У меня аккаунта могу монетизировать оба,Можно ли создать несколько каналов и монетизировать их,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Могут ли трансляции монетизироваться,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Монетизация
516,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Хочу создать ещё один канал и монетизиравать его так можно,Можно ли создать несколько каналов и монетизировать их,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Монетизация
517,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,У нашей организации несколько каналов нужно можн ли получать деньги со всех калах,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Можно ли создать несколько каналов и монетизировать их,К какому количеству студий может быть одновременно предоставлен доступ одному пользователю,Могут ли трансляции монетизироваться,Могу ли я оформить монетизацию моего канала на доверенное лицо,Монетизация
518,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,На одного человека можно монету включить на нескольких каналах,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Можно ли создать несколько каналов и монетизировать их,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Монетизация
519,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Можно ли оформить монетизацию на доверенного человека,Могу ли я оформить монетизацию моего канала на доверенное лицо,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Монетизация
520,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Могу ли я оформить монетизацию по доверенности,Могу ли я оформить монетизацию моего канала на доверенное лицо,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Как подключить монетизацию если я физлицо,Как подключить монетизацию если я физлицо,Монетизация
521,ПРЕДЛОЖЕНИЯ,Монетизация,Можно ли офрмить монетизацию за доуго человка,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Могу ли я оформить монетизацию моего канала на доверенное лицо,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Как подключить монетизацию если я физлицо,Монетизация
522,ПРЕДЛОЖЕНИЯ,Монетизация,Мне нужно оформитьмонетизацию на другого нужно ли переофрмлять канал,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Можно ли подключить монетизацию нескольких каналов на одного человека или организацию,Можно ли создать несколько каналов и монетизировать их,Могу ли я оформить монетизацию моего канала на доверенное лицо,Обязательна ли верификация канала для подключения к монетизации,Монетизация
523,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,У меня канал с реактами на чужие ролики за них платят,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Могу ли я монетизировать видеоролики которые ранее загружались на RUTUBE другими пользователями,Это мой ролик я не давал разрешение на его публикацию,Монетизируется ли контент с отметкой,Я нашел на RUTUBE ролик нарушающий ваши правила или противоречащий законам РФ,Монетизация
524,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,могу лия монетизировать контетнт где я смотрю кино,Монетизируется ли контент с отметкой,Могут ли трансляции монетизироваться,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Почему могут отключить монетизацию из за искусственного завышения показателей на видео и как этого избежать,С какого возраста доступна монетизация,Монетизация
525,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,У видео  есть монетизация,Монетизируется ли контент с отметкой,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Как формируется вознаграждение за монетизацию,Монетизация
526,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,С ограничем по возрасту могу расчитывать на монетизацию,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Я хочу оформить монетизацию на другого человека Нужно ли переоформлять канал на него,Как подключить монетизацию если я физлицо,Монетизация
527,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Могу ли я подключить монетизацию на ролики которые уже были на рутуб,Могу ли я монетизировать видеоролики которые ранее загружались на RUTUBE другими пользователями,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Монетизация
528,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Если я выкладываю ролики которые ранее были на рубубе то я могу за них получать деньги,Могу ли я монетизировать видеоролики в которых есть реакции на фильмы блоги или клипы,Могу ли я монетизировать видеоролики которые ранее загружались на RUTUBE другими пользователями,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Кто такой правообладатель и как им стать,Монетизация
529,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Подключил монетизацию с какого моента мне начнет считаться вознаграждение,Монетизация подключена С какого момента будет рассчитываться вознаграждение,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,Как формируется вознаграждение за монетизацию,С какого возраста доступна монетизация,Монетизация
530,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Я подключил монетизацию с какого момента начнут считаться деньги,Монетизация подключена С какого момента будет рассчитываться вознаграждение,Как долго рассматривается заявка на монетизацию,С какого возраста доступна монетизация,С какого возраста доступна монетизация,Что такое Монетизация на RUTUBE,Монетизация
531,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Наконецто подключил монетизацию с какого момента начнет считаться вознаграждение,Монетизация подключена С какого момента будет рассчитываться вознаграждение,Как долго рассматривается заявка на монетизацию,Что такое Монетизация на RUTUBE,Что такое Монетизация на RUTUBE,С какого возраста доступна монетизация,Монетизация
532,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,«Требуется дополнительная информация» для монетизации Что ещё от меня нужно,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Как подтвердить права на использование контента для монетизации,Почему заявка может быть отклонена,Монетизация
533,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,В личном кабинете есть надпись «Требуется дополнительная информация» после подключения монетизации что не так,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Какие документы нужны для заявки на монетизацию,Какие документы нужны для заявки на монетизацию,Почему заявка может быть отклонена,Как подключить монетизацию если я физлицо,Монетизация
534,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,из за чего может быть отклонена монетизация,Почему заявка может быть отклонена,Почему могут отключить монетизацию из за авторского права на видео и как этого избежать,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Почему могут отключить монетизацию из за искусственного завышения показателей на видео и как этого избежать,Могу ли я монетизировать видеоролики которые ранее загружались на RUTUBE другими пользователями,Монетизация
535,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Почему по монетизации может быть отказ,Почему заявка может быть отклонена,Для каких статусов доступна монетизация и почему могут отключить монетизацию из за изменения юридического статуса на видео как этого избежать,Почему могут отключить монетизацию из за искусственного завышения показателей на видео и как этого избежать,Почему могут отключить монетизацию из за авторского права на видео и как этого избежать,Отправил заявку на монетизацию но в личном кабинете висит надпись «Требуется дополнительная информация» Что делать,Монетизация
536,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Здравствуйте Мне на почту от Вас не пришло письмо с инструкцией о том что нужно исправить для восстановления выплат по партнерской программе Сколько времени есть,Сколько времени дается на исправление нарушений на канале,Моя заявка находится длительное время без ответа Что делать,Моя заявка находится длительное время без ответа Что делать,Я подтвердил свою регистрацию но письмо с подтверждением на мой e mail не пришло,Забыл свой пароль а письмо для его восстановления не приходит на почту,Монетизация
537,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Сколько у меня есть чтобы исправить нарушения,Сколько времени дается на исправление нарушений на канале,Как долго рассматривается повторная заявка на монетизацию,Это мой ролик я не давал разрешение на его публикацию,Сколько времени занимает рассмотрение заявки на верификацию канала,Я нашел на RUTUBE ролик нарушающий ваши правила или противоречащий законам РФ,Монетизация
538,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,Сколько мне мдается на устранение нарушений на канале,Сколько времени дается на исправление нарушений на канале,Сколько времени занимает рассмотрение заявки на верификацию канала,Как мне лучше оформить свой канал,Как поменять URL своего RUTUBE канала,Я нашел на RUTUBE ролик нарушающий ваши правила или противоречащий законам РФ,Монетизация
